PlayerID,PanelID,DisplayUnitID,Latitude,Longitude,City,NameStreet,Address,Country
1374714758,7591,591268995,51.75880922,19.46537018,Łódź,Al. Piłsudskiego 15/23,Łódzka,Poland
592610932,7592,592610067,53.11551155,18.0113554,Bydgoszcz,Wojska Polskiego 1,Zielone Arkady,Poland
592610932,7593,592610067,53.11551155,18.0113554,Bydgoszcz,Wojska Polskiego 1,Zielone Arkady,Poland
592611279,7594,592610171,53.11534412,18.01172018,Bydgoszcz,Wojska Polskiego 1,Zielone Arkady,Poland
592611279,7595,592610171,53.11534412,18.01172018,Bydgoszcz,Wojska Polskiego 1,Zielone Arkady,Poland
592611465,7596,592610175,53.11527973,18.01169872,Bydgoszcz,Wojska Polskiego 1,Zielone Arkady,Poland
592611465,7597,592610175,53.11527973,18.01169872,Bydgoszcz,Wojska Polskiego 1,Zielone Arkady,Poland
592612211,7598,592610183,53.11540852,18.01148415,Bydgoszcz,Wojska Polskiego 1,Zielone Arkady,Poland
592612211,7599,592610183,53.11540852,18.01148415,Bydgoszcz,Wojska Polskiego 1,Zielone Arkady,Poland
963988113,7600,223511548,52.2370415,20.97916603,Warszawa,Al. Solidarności,104/ Okopowa,Poland
453356645,2831,448071575,50.08841,19.98565,Kraków,Bora Komorowskiego 41,Serenada,Poland
453356645,2832,448071575,50.08841,19.98565,Kraków,Bora Komorowskiego 41,Serenada,Poland
453356812,2833,453356359,50.08841,19.98565,Kraków,Bora Komorowskiego 41,Serenada,Poland
453356812,2834,453356359,50.08841,19.98565,Kraków,Bora Komorowskiego 41,Serenada,Poland
453368070,2835,453356362,50.08841,19.98565,Kraków,Bora Komorowskiego 41,Serenada,Poland
453368070,2836,453356362,50.08841,19.98565,Kraków,Bora Komorowskiego 41,Serenada,Poland
453368239,2837,453356365,50.08841,19.98565,Kraków,Bora Komorowskiego 41,Serenada,Poland
453368239,2838,453356365,50.08841,19.98565,Kraków,Bora Komorowskiego 41,Serenada,Poland
477835199,2839,453356369,50.08841,19.98565,Kraków,Bora Komorowskiego 41,Serenada,Poland
477835199,2840,453356369,50.08841,19.98565,Kraków,Bora Komorowskiego 41,Serenada,Poland
453368502,2841,453356372,50.08841,19.98565,Kraków,Bora Komorowskiego 41,Serenada,Poland
453368502,2842,453356372,50.08841,19.98565,Kraków,Bora Komorowskiego 41,Serenada,Poland
1015953411,2843,848056479,50.08841,19.98565,Kraków,Bora Komorowskiego 41,Serenada,Poland
934479067,2848,453614091,50.06488,19.94517,Kraków,Lubicz,Pawia,Poland
630283249,7635,630282976,52.40786463,16.91259384,Poznań,Rondo Kaponiera,Roosvelta,Poland
630283498,7636,630282983,52.40775991,16.91242218,Poznań,Rondo Kaponiera,vis a vis kaponiera printe master,Poland
630283351,7637,630282986,52.40781227,16.9124651,Poznań,Rondo Kaponiera,"wejście na tramwaje 8,10,11,15,18",Poland
963987874,7311,223511538,52.24036923,20.99562407,Warszawa,Al. Jana Pawła II,36,Poland
261146965,7338,259428644,52.19767126,21.01331592,Warszawa,Al. Niepodległości 90,metro,Poland
550682305,6873,455249740,51.75871,19.45559,Łódź,Kościuszki al.,"99/ Mickiewicza al,",Poland
942945566,6872,445774325,50.26408666,19.0182424,Katowice,Sokolska,Dworzec PKS,Poland
